代码,name,ts_code,exchange,最新价,cats,命中数
603533,掌阅科技,603533.SH,SSE,26.66,['大模型'],1
603579,荣泰健康,603579.SH,SSE,22.38,['机器人'],1
603583,捷昌驱动,603583.SH,SSE,28.65,['机器人'],1
603598,引力传媒,603598.SH,SSE,25.27,['AIGC'],1
603619,中曼石油,603619.SH,SSE,28.82,['机器人'],1
603626,科森科技,603626.SH,SSE,27.03,['机器人'],1
603638,艾迪精密,603638.SH,SSE,25.73,['机器人'],1
603648,畅联股份,603648.SH,SSE,10.13,['机器人'],1
603660,苏州科达,603660.SH,SSE,13.79,['大模型'],1
603667,五洲新春,603667.SH,SSE,80.05,['机器人'],1
603677,奇精机械,603677.SH,SSE,16.0,['机器人'],1
603681,永冠新材,603681.SH,SSE,20.43,['大模型'],1
603683,晶华新材,603683.SH,SSE,28.23,['机器人'],1
603716,塞力医疗,603716.SH,SSE,21.38,['大模型'],1
603725,天安新材,603725.SH,SSE,10.04,['机器人'],1
603726,朗迪集团,603726.SH,SSE,27.06,['机器人'],1
603729,龙韵股份,603729.SH,SSE,14.38,['数字经济'],1
603773,沃格光电,603773.SH,SSE,82.49,['CPO'],1
603777,来伊份,603777.SH,SSE,18.83,['大模型'],1
603809,豪能股份,603809.SH,SSE,11.51,['机器人'],1
603881,数据港,603881.SH,SSE,40.75,['算力租赁'],1
603890,春秋电子,603890.SH,SSE,19.99,['机器人'],1
603901,永创智能,603901.SH,SSE,12.93,['机器人'],1
603915,国茂股份,603915.SH,SSE,17.45,['机器人'],1
603918,金桥信息,603918.SH,SSE,13.6,['大模型'],1
603920,世运电路,603920.SH,SSE,67.57,['机器人'],1
603926,铁流股份,603926.SH,SSE,23.47,['机器人'],1
603933,睿能科技,603933.SH,SSE,26.72,['机器人'],1
603936,博敏电子,603936.SH,SSE,20.37,['智能驾驶'],1
603966,法兰泰克,603966.SH,SSE,14.32,['机器人'],1
603985,恒润股份,603985.SH,SSE,26.47,['算力租赁'],1
603992,松霖科技,603992.SH,SSE,33.55,['机器人'],1
605018,长华集团,605018.SH,SSE,13.12,['机器人'],1
605088,冠盛股份,605088.SH,SSE,38.96,['机器人'],1
605118,力鼎光电,605118.SH,SSE,45.9,['智能驾驶'],1
605133,嵘泰股份,605133.SH,SSE,38.75,['机器人'],1
605186,健麾信息,605186.SH,SSE,23.29,['机器人'],1
605189,富春染织,605189.SH,SSE,19.45,['机器人'],1
605208,永茂泰,605208.SH,SSE,15.02,['机器人'],1
605277,新亚电子,605277.SH,SSE,24.18,['机器人'],1
605286,同力天启,605286.SH,SSE,40.93,['大模型'],1
605289,罗曼股份,605289.SH,SSE,163.14,['算力租赁'],1
605333,沪光股份,605333.SH,SSE,23.86,['机器人'],1
605358,立昂微,605358.SH,SSE,50.87,['大模型'],1
605398,新炬网络,605398.SH,SSE,27.96,['大模型'],1
605488,福莱新材,605488.SH,SSE,36.6,['机器人'],1
